SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,CRN,EXAM_DATE,EXAM_TIME,BLDG_CODE,ROOM_CODE
ANTH,477,001,14320,12/9/2022,1900,TBA,TBA
ANTH,677,001,14321,12/9/2022,1900,TBA,TBA
GLHT,201,001,10299,12/9/2022,1900,TBA,TBA
BUSI,223,001,11432,12/9/2022,1900,TBA,TBA
EDUC,304,001,11592,12/9/2022,1400,TBA,TBA
EDUC,504,001,11673,12/9/2022,1400,TBA,TBA
COMP,534,001,13340,12/9/2022,1900,TBA,TBA
STAT,376,003,11310,12/9/2022,1900,TBA,TBA
STAT,425,001,11363,12/9/2022,1900,HRZ,212
HIST,358,001,14014,12/9/2022,1900,TBA,TBA
ECON,308,001,10635,12/9/2022,0900,KRF,105
SOCI,231,001,13124,12/9/2022,1900,TBA,TBA
EMSP,281,0F1,10722,12/9/2022,1400,BRK,101
