PERSON_IDENTIFIER,TERM_DESC,CRN,SUBJ_CODE,CRSE_NUMB,SECTION,SCHEDULE_TYPE,TITLE
12,Fall Semester 2022,13617,CAAM,467,001,LEC,OPT METHODS IN FINANCE
12,Fall Semester 2022,14053,PHIL,160,001,LEC,MORAL PROBLEMS
13,Fall Semester 2022,10060,MATH,355,001,LEC,LINEAR ALGEBRA
13,Fall Semester 2022,14159,POLI,210,002,LEC,INTRO TO AMERICAN POLITICS
13,Fall Semester 2022,12299,PHIL,210,001,LEC,LOGIC
13,Fall Semester 2022,13804,PSYC,101,003,LEC,INTRODUCTION TO PSYCHOLOGY
14,Fall Semester 2022,10831,MUSI,341,017,STU,JUNIOR RECITAL
14,Fall Semester 2022,10502,MUSI,338,016,STU,CHAMBER MUSIC - UG
14,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
14,Fall Semester 2022,10139,MUSI,421,001,LEC,THE MODERN ERA
14,Fall Semester 2022,10377,MUSI,339,003,STU,UG ORCHESTRAL REP
14,Fall Semester 2022,10093,PSYC,101,002,LEC,INTRODUCTION TO PSYCHOLOGY
14,Fall Semester 2022,10455,MUSI,495,002,STU,VIOLONCELLO FOR MAJORS
14,Fall Semester 2022,14404,DSCI,101,002,LL,INTRO TO DATA SCIENCE
15,Fall Semester 2022,10835,MUSI,341,033,STU,JUNIOR RECITAL
15,Fall Semester 2022,10506,MUSI,338,020,STU,CHAMBER MUSIC - UG
15,Fall Semester 2022,13284,MUSI,281,003,STU,SECONDARY PIANO
15,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
15,Fall Semester 2022,10139,MUSI,421,001,LEC,THE MODERN ERA
15,Fall Semester 2022,10453,MUSI,491,004,STU,VIOLIN FOR MAJORS
15,Fall Semester 2022,10543,PSYC,203,002,LEC,INTRO TO COGNITIVE PSYCHOLOGY
16,Fall Semester 2022,10835,MUSI,341,033,STU,JUNIOR RECITAL
16,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
16,Fall Semester 2022,10138,MUSI,403,001,LL,BASIC ELECTRONIC MUSIC
16,Fall Semester 2022,10453,MUSI,491,004,STU,VIOLIN FOR MAJORS
16,Fall Semester 2022,11378,BUSI,343,002,LEC,FINANCIAL MANAGEMENT
16,Fall Semester 2022,13284,MUSI,281,003,STU,SECONDARY PIANO
17,Fall Semester 2022,10837,MUSI,441,019,STU,SENIOR RECITAL
17,Fall Semester 2022,10495,MUSI,338,008,STU,CHAMBER MUSIC - UG
17,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
17,Fall Semester 2022,10451,MUSI,491,002,STU,VIOLIN FOR MAJORS
17,Fall Semester 2022,11926,ENST,250,001,LEC,UNDERSTANDING ENERGY
17,Fall Semester 2022,14776,ARTS,165,003,LL,BEGINNING SCULPTURE
18,Fall Semester 2022,10837,MUSI,441,019,STU,SENIOR RECITAL
18,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
18,Fall Semester 2022,10137,MUSI,401,001,STU,COMPOSITION FOR MAJORS
18,Fall Semester 2022,10127,MUSI,303,001,SEM,UNDERGRAD COMPOSITION SEMINAR
18,Fall Semester 2022,10451,MUSI,491,002,STU,VIOLIN FOR MAJORS
18,Fall Semester 2022,10650,BUSI,310,001,LEC,LEADING IN ORGANIZATIONS
18,Fall Semester 2022,11278,MUSI,381,005,STU,CONCENTRATION PIANO
18,Fall Semester 2022,14300,BUSI,380,001,LEC,MARKETING
19,Fall Semester 2022,10490,MUSI,338,003,STU,CHAMBER MUSIC - UG
19,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
19,Fall Semester 2022,10380,MUSI,339,006,STU,UG ORCHESTRAL REP
19,Fall Semester 2022,10446,MUSI,463,002,STU,TRUMPET FOR MAJORS
19,Fall Semester 2022,11776,FREN,141,001,LEC,FIRST YEAR FRENCH I
19,Fall Semester 2022,12661,MUSI,449,004,IND,UNDERGRAD INDEPENDENT STUDY
20,Fall Semester 2022,10490,MUSI,338,003,STU,CHAMBER MUSIC - UG
20,Fall Semester 2022,10130,MUSI,321,001,LEC,BAROQUE & EARLY CLASSICAL ERAS
20,Fall Semester 2022,10131,MUSI,331,001,LL,AURAL SKILLS & PERF TECH III
20,Fall Semester 2022,10132,MUSI,337,001,STU,UNDERGRADUATE ORCHESTRA
20,Fall Semester 2022,10380,MUSI,339,006,STU,UG ORCHESTRAL REP
