PERSON_IDENTIFIER,TERM_DESC,CRN,SUBJ_CODE,CRSE_NUMB,SECTION,SCHEDULE_TYPE,TITLE
1017,Fall Semester 2022,13530,COMP,140,003,LL,COMPUTATIONAL THINKING
1017,Fall Semester 2022,13999,FWIS,132,001,SEM,SLAVERY ON FILM
1018,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1018,Fall Semester 2022,10092,PSYC,101,001,LEC,INTRODUCTION TO PSYCHOLOGY
1018,Fall Semester 2022,14327,ENGL,262,001,SEM,WHODUNIT & OTHER MYSTERIES
1018,Fall Semester 2022,12879,ECON,100,003,LEC,PRINCIPLES OF ECONOMICS
1018,Fall Semester 2022,14110,SMGT,260,002,LEC,INTRO TO SPORT MANAGEMENT
1019,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1019,Fall Semester 2022,10699,FREN,141,003,LEC,FIRST YEAR FRENCH I
1019,Fall Semester 2022,10717,ENGI,100,002,LAB,INTRO SPATIAL VISUALIZATION
1019,Fall Semester 2022,12906,FWIS,100,012,SEM,INTRO TO ACADEMIC WRITING
1019,Fall Semester 2022,13531,COMP,140,002,LL,COMPUTATIONAL THINKING
1019,Fall Semester 2022,13804,PSYC,101,003,LEC,INTRODUCTION TO PSYCHOLOGY
1020,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1020,Fall Semester 2022,10663,PHYS,103,012,SEM,MECHANICS DISCUSSION
1020,Fall Semester 2022,10666,PHYS,101,S01,LL,MECHANICS (WITH LAB)
1020,Fall Semester 2022,11763,FWIS,100,009,SEM,INTRO TO ACADEMIC WRITING
1020,Fall Semester 2022,13530,COMP,140,003,LL,COMPUTATIONAL THINKING
1021,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1021,Fall Semester 2022,12879,ECON,100,003,LEC,PRINCIPLES OF ECONOMICS
1021,Fall Semester 2022,12911,FWIS,130,001,SEM,WRITING EVERYDAY LIFE
1021,Fall Semester 2022,13530,COMP,140,003,LL,COMPUTATIONAL THINKING
1021,Fall Semester 2022,13965,EEPS,116,001,LEC,EARTH AND THE SOLAR SYSTEM
1022,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1022,Fall Semester 2022,11689,MDHM,201,001,SEM,INTRO TO MEDICAL HUMANITIES
1022,Fall Semester 2022,12316,BIOS,201,S01,LEC,INTRODUCTORY BIOLOGY I
1022,Fall Semester 2022,13219,CHEM,121,S03,LL,GENERAL CHEMISTRY I
1022,Fall Semester 2022,14384,MDHM,238,001,LEC,MEDICAL HORROR IN FILM & LIT
1022,Fall Semester 2022,13733,CHEM,123,009,LAB,GENERAL CHEMISTRY LAB I
1023,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1023,Fall Semester 2022,10633,ECON,100,001,LEC,PRINCIPLES OF ECONOMICS
1023,Fall Semester 2022,14166,POLI,212,003,LEC,INTRO TO COMPARATIVE POLITICS
1023,Fall Semester 2022,12570,ENST,301,001,SEM,ENVIRONMENTAL JUSTICE
1023,Fall Semester 2022,14703,FWIS,141,001,SEM,TECHNOLOGIES OF TASTE
1024,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1024,Fall Semester 2022,10633,ECON,100,001,LEC,PRINCIPLES OF ECONOMICS
1024,Fall Semester 2022,10659,PHYS,103,008,SEM,MECHANICS DISCUSSION
1024,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1024,Fall Semester 2022,13217,CHEM,121,S01,LL,GENERAL CHEMISTRY I
1024,Fall Semester 2022,13322,CHEM,123,007,LAB,GENERAL CHEMISTRY LAB I
1025,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1025,Fall Semester 2022,10654,PHYS,103,003,SEM,MECHANICS DISCUSSION
1025,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1025,Fall Semester 2022,11012,CHEM,123,005,LAB,GENERAL CHEMISTRY LAB I
1025,Fall Semester 2022,14336,HUMA,131,001,LEC,WHAT IS AN (AB)NORMAL BODY?
1025,Fall Semester 2022,13219,CHEM,121,S03,LL,GENERAL CHEMISTRY I
1026,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1026,Fall Semester 2022,14161,POLI,210,004,LEC,INTRO TO AMERICAN POLITICS
1026,Fall Semester 2022,10633,ECON,100,001,LEC,PRINCIPLES OF ECONOMICS
1026,Fall Semester 2022,11870,SOPA,200,002,LEC,APPROACHES TO SOCIAL POLICY
1026,Fall Semester 2022,12570,ENST,301,001,SEM,ENVIRONMENTAL JUSTICE
1027,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1027,Fall Semester 2022,10661,PHYS,103,010,SEM,MECHANICS DISCUSSION
1027,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1027,Fall Semester 2022,12879,ECON,100,003,LEC,PRINCIPLES OF ECONOMICS
1027,Fall Semester 2022,13530,COMP,140,003,LL,COMPUTATIONAL THINKING
1027,Fall Semester 2022,15012,FWIS,123,001,SEM,STAR WARS  & WRITING CULTURE
1028,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1028,Fall Semester 2022,11601,SOCI,101,004,LEC,INTRODUCTION TO SOCIOLOGY
1028,Fall Semester 2022,12316,BIOS,201,S01,LEC,INTRODUCTORY BIOLOGY I
1028,Fall Semester 2022,13399,HEAL,132,001,LEC,MEDICAL TERMINOLOGY
1028,Fall Semester 2022,13997,FWIS,111,001,SEM,COLLEGE CAMPUS CULTURE
1029,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1029,Fall Semester 2022,10633,ECON,100,001,LEC,PRINCIPLES OF ECONOMICS
1029,Fall Semester 2022,10657,PHYS,103,006,SEM,MECHANICS DISCUSSION
1029,Fall Semester 2022,10666,PHYS,101,S01,LL,MECHANICS (WITH LAB)
1029,Fall Semester 2022,14182,HART,374,001,SEM,ART OF THE FRENCH REVOLUTION
1029,Fall Semester 2022,14041,CLAS,218,001,LEC,GREEK ART AND ARCHAEOLOGY
1030,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1030,Fall Semester 2022,10074,PHYS,111,S01,LL,HONORS MECHANICS (WITH LAB)
1030,Fall Semester 2022,12947,LING,200,003,LEC,INTRO TO STUDY OF LANGUAGE
1030,Fall Semester 2022,14044,FREN,370,001,SEM,WOMEN IN TALES OF FANTASTIC
1031,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1031,Fall Semester 2022,10092,PSYC,101,001,LEC,INTRODUCTION TO PSYCHOLOGY
1031,Fall Semester 2022,11292,KORE,301,001,LEC,THIRD YEAR KOREAN I
1031,Fall Semester 2022,12911,FWIS,130,001,SEM,WRITING EVERYDAY LIFE
1031,Fall Semester 2022,13530,COMP,140,003,LL,COMPUTATIONAL THINKING
1032,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1032,Fall Semester 2022,11601,SOCI,101,004,LEC,INTRODUCTION TO SOCIOLOGY
1032,Fall Semester 2022,12316,BIOS,201,S01,LEC,INTRODUCTORY BIOLOGY I
1032,Fall Semester 2022,13219,CHEM,121,S03,LL,GENERAL CHEMISTRY I
1032,Fall Semester 2022,13222,CHEM,123,006,LAB,GENERAL CHEMISTRY LAB I
1032,Fall Semester 2022,14704,FWIS,141,002,SEM,TECHNOLOGIES OF TASTE
1033,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1033,Fall Semester 2022,12878,ECON,100,002,LEC,PRINCIPLES OF ECONOMICS
1033,Fall Semester 2022,13520,FWIS,114,001,SEM,"WASTE, TRASH, POLLUTION"
1033,Fall Semester 2022,14302,HART,118,001,LEC,GLOBAL ARCHITECTURE HIST I
1033,Fall Semester 2022,14274,CAAM,210,006,LL,INTRO TO ENG COMPUTATION
1034,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1034,Fall Semester 2022,10661,PHYS,103,010,SEM,MECHANICS DISCUSSION
1034,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1034,Fall Semester 2022,12254,ANTH,203,001,LEC,INTRO BIOLOGICAL ANTHROPOLOGY
1034,Fall Semester 2022,12548,FWIS,188,001,SEM,ENG DESIGN & COMMUNICATION
1034,Fall Semester 2022,14270,CAAM,210,002,LL,INTRO TO ENG COMPUTATION
1035,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1035,Fall Semester 2022,10657,PHYS,103,006,SEM,MECHANICS DISCUSSION
1035,Fall Semester 2022,10666,PHYS,101,S01,LL,MECHANICS (WITH LAB)
1035,Fall Semester 2022,10717,ENGI,100,002,LAB,INTRO SPATIAL VISUALIZATION
1035,Fall Semester 2022,13530,COMP,140,003,LL,COMPUTATIONAL THINKING
1035,Fall Semester 2022,14006,HIST,222,001,LEC,HISTORY OF EARLY AFRICA
1036,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1036,Fall Semester 2022,10664,PHYS,103,013,SEM,MECHANICS DISCUSSION
1036,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1036,Fall Semester 2022,12878,ECON,100,002,LEC,PRINCIPLES OF ECONOMICS
1036,Fall Semester 2022,13529,COMP,140,001,LL,COMPUTATIONAL THINKING
1037,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1037,Fall Semester 2022,10093,PSYC,101,002,LEC,INTRODUCTION TO PSYCHOLOGY
1037,Fall Semester 2022,10658,PHYS,103,007,SEM,MECHANICS DISCUSSION
1037,Fall Semester 2022,10666,PHYS,101,S01,LL,MECHANICS (WITH LAB)
1037,Fall Semester 2022,13532,COMP,140,004,LL,COMPUTATIONAL THINKING
1037,Fall Semester 2022,13724,FWIS,188,003,SEM,ENG DESIGN & COMMUNICATION
1038,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1038,Fall Semester 2022,10340,PSYC,203,001,LEC,INTRO TO COGNITIVE PSYCHOLOGY
1038,Fall Semester 2022,10677,SPAN,141,001,LEC,FIRST YEAR SPANISH I
1038,Fall Semester 2022,12546,BIOS,300,001,LEC,PARADIGMS IN BIOCHM & CELL BIO
1038,Fall Semester 2022,13200,BIOS,118,002,SEM,FIRST-YEAR SEMINAR (BCBG)
1038,Fall Semester 2022,13432,PJHC,371,001,SEM,"POVERTY, JUSTICE, CAPABILITIES"
1039,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1039,Fall Semester 2022,10633,ECON,100,001,LEC,PRINCIPLES OF ECONOMICS
1039,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1039,Fall Semester 2022,11325,PHYS,103,015,SEM,MECHANICS DISCUSSION
1039,Fall Semester 2022,14004,HIST,117,001,LEC,EARLY AMERICA
1039,Fall Semester 2022,14007,HIST,246,001,LEC,AMERICAN CIVIL WAR ERA
1040,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1040,Fall Semester 2022,10654,PHYS,103,003,SEM,MECHANICS DISCUSSION
1040,Fall Semester 2022,10666,PHYS,101,S01,LL,MECHANICS (WITH LAB)
1040,Fall Semester 2022,14339,ENGL,101,001,LEC,WHAT IS A FACT?
1040,Fall Semester 2022,13219,CHEM,121,S03,LL,GENERAL CHEMISTRY I
1040,Fall Semester 2022,13220,CHEM,123,002,LAB,GENERAL CHEMISTRY LAB I
1040,Fall Semester 2022,14003,FWIS,181,001,SEM,AFRICAN AMERICAN GRAPHIC NOVEL
1041,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1041,Fall Semester 2022,10092,PSYC,101,001,LEC,INTRODUCTION TO PSYCHOLOGY
1041,Fall Semester 2022,10716,ENGI,100,001,LAB,INTRO SPATIAL VISUALIZATION
1041,Fall Semester 2022,11011,CHEM,123,001,LAB,GENERAL CHEMISTRY LAB I
1041,Fall Semester 2022,12640,FWIS,188,002,SEM,ENG DESIGN & COMMUNICATION
1041,Fall Semester 2022,13217,CHEM,121,S01,LL,GENERAL CHEMISTRY I
1042,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1042,Fall Semester 2022,10092,PSYC,101,001,LEC,INTRODUCTION TO PSYCHOLOGY
1042,Fall Semester 2022,10739,FWIS,100,001,SEM,INTRO TO ACADEMIC WRITING
1042,Fall Semester 2022,14172,HART,265,001,LEC,ART/ POLITICS MOD LATIN AMER
1043,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1043,Fall Semester 2022,10653,PHYS,103,001,SEM,MECHANICS DISCUSSION
1043,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1043,Fall Semester 2022,12640,FWIS,188,002,SEM,ENG DESIGN & COMMUNICATION
1043,Fall Semester 2022,13217,CHEM,121,S01,LL,GENERAL CHEMISTRY I
1043,Fall Semester 2022,13733,CHEM,123,009,LAB,GENERAL CHEMISTRY LAB I
1043,Fall Semester 2022,13804,PSYC,101,003,LEC,INTRODUCTION TO PSYCHOLOGY
1044,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1044,Fall Semester 2022,10310,BUSI,310,002,LEC,LEADING IN ORGANIZATIONS
1044,Fall Semester 2022,10664,PHYS,103,013,SEM,MECHANICS DISCUSSION
1044,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1044,Fall Semester 2022,10716,ENGI,100,001,LAB,INTRO SPATIAL VISUALIZATION
1044,Fall Semester 2022,13219,CHEM,121,S03,LL,GENERAL CHEMISTRY I
1044,Fall Semester 2022,13221,CHEM,123,004,LAB,GENERAL CHEMISTRY LAB I
1045,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1045,Fall Semester 2022,10653,PHYS,103,001,SEM,MECHANICS DISCUSSION
1045,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1045,Fall Semester 2022,11013,CHEM,123,003,LAB,GENERAL CHEMISTRY LAB I
1045,Fall Semester 2022,12548,FWIS,188,001,SEM,ENG DESIGN & COMMUNICATION
1045,Fall Semester 2022,13219,CHEM,121,S03,LL,GENERAL CHEMISTRY I
1046,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1046,Fall Semester 2022,10654,PHYS,103,003,SEM,MECHANICS DISCUSSION
1046,Fall Semester 2022,10666,PHYS,101,S01,LL,MECHANICS (WITH LAB)
1046,Fall Semester 2022,14007,HIST,246,001,LEC,AMERICAN CIVIL WAR ERA
1046,Fall Semester 2022,14794,FWIS,118,001,SEM,ESPIONAGE IN FILM & LIT
1047,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1047,Fall Semester 2022,10253,CHEM,211,S01,LEC,ORGANIC CHEMISTRY I
1047,Fall Semester 2022,10710,CHEM,213,008,SEM,ORGANIC CHEM DISCUSSION I
1047,Fall Semester 2022,12546,BIOS,300,001,LEC,PARADIGMS IN BIOCHM & CELL BIO
1047,Fall Semester 2022,13201,BIOS,118,003,SEM,FIRST-YEAR SEMINAR (BCBG)
1047,Fall Semester 2022,13804,PSYC,101,003,LEC,INTRODUCTION TO PSYCHOLOGY
1047,Fall Semester 2022,13948,JAPA,141,004,LEC,FIRST YEAR JAPANESE I
1048,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1048,Fall Semester 2022,10666,PHYS,101,S01,LL,MECHANICS (WITH LAB)
1048,Fall Semester 2022,11325,PHYS,103,015,SEM,MECHANICS DISCUSSION
1048,Fall Semester 2022,14250,ENGI,101,001,SEM,INTRODUCTION TO ENGINEERING
1048,Fall Semester 2022,13322,CHEM,123,007,LAB,GENERAL CHEMISTRY LAB I
1048,Fall Semester 2022,14379,CHEM,121,S04,LL,GENERAL CHEMISTRY I
1048,Fall Semester 2022,14704,FWIS,141,002,SEM,TECHNOLOGIES OF TASTE
1049,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1049,Fall Semester 2022,12316,BIOS,201,S01,LEC,INTRODUCTORY BIOLOGY I
1049,Fall Semester 2022,13218,CHEM,121,S02,LL,GENERAL CHEMISTRY I
1049,Fall Semester 2022,13733,CHEM,123,009,LAB,GENERAL CHEMISTRY LAB I
1049,Fall Semester 2022,14001,FWIS,150,001,SEM,THE WORLD OF MEDIEVAL MEDICINE
1050,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1050,Fall Semester 2022,11375,BUSI,305,001,LEC,FINANCIAL ACCOUNTING
1050,Fall Semester 2022,12785,DSCI,101,001,LL,INTRO TO DATA SCIENCE
1050,Fall Semester 2022,12878,ECON,100,002,LEC,PRINCIPLES OF ECONOMICS
1050,Fall Semester 2022,14386,RELI,322,001,LEC,INTRODUCTION TO BUDDHISM
1051,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1051,Fall Semester 2022,11013,CHEM,123,003,LAB,GENERAL CHEMISTRY LAB I
1051,Fall Semester 2022,12316,BIOS,201,S01,LEC,INTRODUCTORY BIOLOGY I
1051,Fall Semester 2022,12576,FREN,263,002,LEC,SECOND YEAR FRENCH I
1051,Fall Semester 2022,14379,CHEM,121,S04,LL,GENERAL CHEMISTRY I
1051,Fall Semester 2022,14670,FWIS,155,001,SEM,WRITING ASIAN FOOD
1052,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1052,Fall Semester 2022,10092,PSYC,101,001,LEC,INTRODUCTION TO PSYCHOLOGY
1052,Fall Semester 2022,10655,PHYS,103,004,SEM,MECHANICS DISCUSSION
1052,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1052,Fall Semester 2022,10716,ENGI,100,001,LAB,INTRO SPATIAL VISUALIZATION
1052,Fall Semester 2022,12878,ECON,100,002,LEC,PRINCIPLES OF ECONOMICS
1052,Fall Semester 2022,14270,CAAM,210,002,LL,INTRO TO ENG COMPUTATION
1053,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1053,Fall Semester 2022,10093,PSYC,101,002,LEC,INTRODUCTION TO PSYCHOLOGY
1053,Fall Semester 2022,10662,PHYS,103,011,SEM,MECHANICS DISCUSSION
1053,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1053,Fall Semester 2022,12878,ECON,100,002,LEC,PRINCIPLES OF ECONOMICS
1053,Fall Semester 2022,14270,CAAM,210,002,LL,INTRO TO ENG COMPUTATION
1054,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1054,Fall Semester 2022,10576,FWIS,137,001,SEM,POP MUSIC & AMERICAN CULTURE
1054,Fall Semester 2022,10659,PHYS,103,008,SEM,MECHANICS DISCUSSION
1054,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1054,Fall Semester 2022,13532,COMP,140,004,LL,COMPUTATIONAL THINKING
1054,Fall Semester 2022,14007,HIST,246,001,LEC,AMERICAN CIVIL WAR ERA
1055,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1055,Fall Semester 2022,10658,PHYS,103,007,SEM,MECHANICS DISCUSSION
1055,Fall Semester 2022,10666,PHYS,101,S01,LL,MECHANICS (WITH LAB)
1055,Fall Semester 2022,11988,SMGT,260,001,LEC,INTRO TO SPORT MANAGEMENT
1055,Fall Semester 2022,15014,FWIS,148,001,SEM,THE ART OF SPORTSWRITING
1056,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1056,Fall Semester 2022,10716,ENGI,100,001,LAB,INTRO SPATIAL VISUALIZATION
1056,Fall Semester 2022,11988,SMGT,260,001,LEC,INTRO TO SPORT MANAGEMENT
1056,Fall Semester 2022,13532,COMP,140,004,LL,COMPUTATIONAL THINKING
1056,Fall Semester 2022,14287,RELI,123,001,LEC,INTRO TO WORLD CHRISTIANITY
1057,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1057,Fall Semester 2022,10716,ENGI,100,001,LAB,INTRO SPATIAL VISUALIZATION
1057,Fall Semester 2022,14154,MATH,101,S02,LEC,SINGLE VARIABLE CALCULUS I
1057,Fall Semester 2022,13530,COMP,140,003,LL,COMPUTATIONAL THINKING
1057,Fall Semester 2022,14296,BUSI,221,001,LL,NEW ENTERPRISES
1057,Fall Semester 2022,15012,FWIS,123,001,SEM,STAR WARS  & WRITING CULTURE
1058,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1058,Fall Semester 2022,10662,PHYS,103,011,SEM,MECHANICS DISCUSSION
1058,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1058,Fall Semester 2022,14172,HART,265,001,LEC,ART/ POLITICS MOD LATIN AMER
1058,Fall Semester 2022,12906,FWIS,100,012,SEM,INTRO TO ACADEMIC WRITING
1059,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1059,Fall Semester 2022,10633,ECON,100,001,LEC,PRINCIPLES OF ECONOMICS
1059,Fall Semester 2022,14171,HART,205,001,LEC,ART SINCE 1945
1059,Fall Semester 2022,14684,FWIS,145,001,SEM,MUSEUMS IN WORLD HISTORY
1060,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1060,Fall Semester 2022,10093,PSYC,101,002,LEC,INTRODUCTION TO PSYCHOLOGY
1060,Fall Semester 2022,11013,CHEM,123,003,LAB,GENERAL CHEMISTRY LAB I
1060,Fall Semester 2022,12548,FWIS,188,001,SEM,ENG DESIGN & COMMUNICATION
1060,Fall Semester 2022,14379,CHEM,121,S04,LL,GENERAL CHEMISTRY I
1061,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1061,Fall Semester 2022,14161,POLI,210,004,LEC,INTRO TO AMERICAN POLITICS
1061,Fall Semester 2022,10717,ENGI,100,002,LAB,INTRO SPATIAL VISUALIZATION
1061,Fall Semester 2022,12878,ECON,100,002,LEC,PRINCIPLES OF ECONOMICS
1061,Fall Semester 2022,14961,GREE,302,002,LEC,HOMER
1062,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1062,Fall Semester 2022,10222,BUSI,296,001,LEC,BUSINESS COMMUNICATION
1062,Fall Semester 2022,10092,PSYC,101,001,LEC,INTRODUCTION TO PSYCHOLOGY
1062,Fall Semester 2022,13531,COMP,140,002,LL,COMPUTATIONAL THINKING
1062,Fall Semester 2022,14004,HIST,117,001,LEC,EARLY AMERICA
1063,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1063,Fall Semester 2022,10543,PSYC,203,002,LEC,INTRO TO COGNITIVE PSYCHOLOGY
1063,Fall Semester 2022,10660,PHYS,103,009,SEM,MECHANICS DISCUSSION
1063,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1063,Fall Semester 2022,13532,COMP,140,004,LL,COMPUTATIONAL THINKING
1063,Fall Semester 2022,14741,ENGL,200,003,SEM,GATEWAYS TO LITERARY STUDY
1064,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1064,Fall Semester 2022,12316,BIOS,201,S01,LEC,INTRODUCTORY BIOLOGY I
1064,Fall Semester 2022,13219,CHEM,121,S03,LL,GENERAL CHEMISTRY I
1064,Fall Semester 2022,13222,CHEM,123,006,LAB,GENERAL CHEMISTRY LAB I
1065,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1065,Fall Semester 2022,10729,ECON,210,001,LEC,BEHAVIORAL ECONOMICS
1065,Fall Semester 2022,11926,ENST,250,001,LEC,UNDERSTANDING ENERGY
1065,Fall Semester 2022,12881,ECON,200,002,LL,MICROECONOMICS
1066,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1066,Fall Semester 2022,10633,ECON,100,001,LEC,PRINCIPLES OF ECONOMICS
1066,Fall Semester 2022,10663,PHYS,103,012,SEM,MECHANICS DISCUSSION
1066,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1066,Fall Semester 2022,12947,LING,200,003,LEC,INTRO TO STUDY OF LANGUAGE
1066,Fall Semester 2022,13221,CHEM,123,004,LAB,GENERAL CHEMISTRY LAB I
1066,Fall Semester 2022,14379,CHEM,121,S04,LL,GENERAL CHEMISTRY I
1067,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1067,Fall Semester 2022,12549,BIOS,372,001,LEC,IMMUNOLOGY
1067,Fall Semester 2022,14117,ARTS,326,001,STU,COLLAGE
1067,Fall Semester 2022,14701,SWGS,101,001,LEC,INTRO WOMEN & GENDER
1068,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1068,Fall Semester 2022,10661,PHYS,103,010,SEM,MECHANICS DISCUSSION
1068,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1068,Fall Semester 2022,10717,ENGI,100,002,LAB,INTRO SPATIAL VISUALIZATION
1068,Fall Semester 2022,12911,FWIS,130,001,SEM,WRITING EVERYDAY LIFE
1068,Fall Semester 2022,13217,CHEM,121,S01,LL,GENERAL CHEMISTRY I
1068,Fall Semester 2022,13221,CHEM,123,004,LAB,GENERAL CHEMISTRY LAB I
1069,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1069,Fall Semester 2022,10253,CHEM,211,S01,LEC,ORGANIC CHEMISTRY I
1069,Fall Semester 2022,10092,PSYC,101,001,LEC,INTRODUCTION TO PSYCHOLOGY
1069,Fall Semester 2022,10704,CHEM,213,001,SEM,ORGANIC CHEM DISCUSSION I
1069,Fall Semester 2022,11943,BUSI,220,001,LAB,LILIE DESIGN THINKING
1069,Fall Semester 2022,12299,PHIL,210,001,LEC,LOGIC
1070,Fall Semester 2022,10056,MATH,102,S03,LEC,SINGLE VARIABLE CALCULUS II
1070,Fall Semester 2022,10662,PHYS,103,011,SEM,MECHANICS DISCUSSION
1070,Fall Semester 2022,10667,PHYS,101,S02,LL,MECHANICS (WITH LAB)
1070,Fall Semester 2022,13217,CHEM,121,S01,LL,GENERAL CHEMISTRY I
1070,Fall Semester 2022,13220,CHEM,123,002,LAB,GENERAL CHEMISTRY LAB I
1070,Fall Semester 2022,13828,CHEM,110,002,SEM,FRESHMAN CHEMISTRY SEMINAR
1070,Fall Semester 2022,14788,FWIS,103,001,SEM,TRUE CRIME AND CRIME FICTION
1071,Fall Semester 2022,10057,MATH,212,S01,LEC,MULTIVARIABLE CALCULUS
1071,Fall Semester 2022,10253,CHEM,211,S01,LEC,ORGANIC CHEMISTRY I
1071,Fall Semester 2022,10708,CHEM,213,006,SEM,ORGANIC CHEM DISCUSSION I
