CRN,TERM_CODE,SUBJ_CODE,CRSE_NUMB,SEQ_NUMB,SUBJ_DESC,SCHOOL_DESC,DEPT_DESC,ENRL,MAX_ENRL,MEETING,CRSE_TITLE,XLST_ENRL,XLST_MAX_ENRL,XLST_GROUP,INSTR_NAME,EXAM_TYPE
12153,202310,BIOE,422,001,Bioengineering,School of Engineering,Bioengineering,4,15,02:00PM - 03:15PM MW BRC 284,GENE THERAPY,13,25,1Q,"Szablowski, Jerzy",Scheduled Final Exam-OTR Room
12551,202310,BIOE,341,001,Bioengineering,School of Engineering,Bioengineering,23,50,10:50AM - 12:05PM TR BRC 282,CELL & MOL BIOL FOR ENGINEERS,33,66,0F,"Segatori, Laura",Scheduled Final Exam-OTR Room
12706,202310,BIOE,443,002,Bioengineering,School of Engineering,Bioengineering,3,12,01:00PM - 05:59PM W BRC 232,BIOPROCESSING LAB MODULE,,,,"Ghosn, Bilal",No Final Exam
12708,202310,BIOE,447,002,Bioengineering,School of Engineering,Bioengineering,24,0,01:00PM - 04:59PM M OED 112,DIG DES & VIS,,,,"Ghosn, Bilal",No Final Exam
12709,202310,BIOE,449,003,Bioengineering,School of Engineering,Bioengineering,11,12,01:00PM - 05:59PM F BRC 230,MED BIOENGINEERING WORKSHOP,11,12,L4,"Abidi, Sabia Z.",Scheduled Final Exam-Dept Room
12711,202310,BIOE,449,004,Bioengineering,School of Engineering,Bioengineering,10,12,01:00PM - 05:59PM F BRC 230,MED BIOENGINEERING WORKSHOP,10,12,L5,"Abidi, Sabia Z.",Scheduled Final Exam-Dept Room
12857,202310,BIOE,492,001,Bioengineering,School of Engineering,Bioengineering,9,20,02:30PM - 03:45PM TR BRC 286,SENSORY NEUROENGINEERING,20,20,0E,"Raphael, Robert M.",No Final Exam
13924,202310,BIOE,385,004,Bioengineering,School of Engineering,Bioengineering,13,0,01:00PM - 04:00PM M BRC 230,BIOMEDICAL INSTRUMENTATION LAB,,,,"Long, James",Scheduled Final Exam-Dept Room
14623,202310,BIOE,383,002,Bioengineering,School of Engineering,Bioengineering,40,49,09:00AM - 09:50AM MWF BRC 284,BIOMED ENGINR INSTRUMENTATION,,,,"Tkaczyk, Tomasz",Scheduled Final Exam-OTR Room
14515,202310,BIOE,464,001,Bioengineering,School of Engineering,Bioengineering,10,25,10:00AM - 10:50AM MWF BRC 286,EXTRACELLULAR MATRIX,24,45,4K,"Grande-Allen, Kathryn J.",Scheduled Final Exam-OTR Room
14886,202310,BIOE,380,002,Bioengineering,School of Engineering,Bioengineering,7,98,02:00PM - 03:15PM MW BRC 282,INTRO TO NEUROENGINEERING,60,98,15,"Kemere, Caleb T.",No Final Exam
14898,202310,BIOE,392,001,Bioengineering,School of Engineering,Bioengineering,9,0,01:00PM - 02:15PM TR OED B05,NEEDS FINDING & DEV IN BIOE,9,0,H5,"Ghosn, Bilal",No Final Exam
12397,202310,BIOS,352,001,Biosciences,School of Natural Sciences,Biosciences,27,70,09:00AM - 09:50AM MWF KCK 102,PHYS CHEM FOR BIOSCIENCES,,,,"Silberg, Jonathan J.",Scheduled Final Exam-OTR Room
12398,202310,BIOS,401,001,Biosciences,School of Natural Sciences,Biosciences,6,0, -   TBA TBA,UNDERGRADUATE HONORS RESEARCH,,,,"Beckingham, Kathleen M.",No Final Exam
12418,202310,BIOS,401,027,Biosciences,School of Natural Sciences,Biosciences,1,0, -   TBA TBA,UNDERGRADUATE HONORS RESEARCH,,,,"Shamoo, Yousif",No Final Exam
12430,202310,BIOS,401,042,Biosciences,School of Natural Sciences,Biosciences,2,0, -   TBA TBA,UNDERGRADUATE HONORS RESEARCH,,,,"Kirienko, Natalia V.",No Final Exam
12432,202310,BIOS,401,055,Biosciences,School of Natural Sciences,Biosciences,1,0, -   TBA TBA,UNDERGRADUATE HONORS RESEARCH,,,,"Dunham, Amy E.",No Final Exam
12439,202310,BIOS,401,063,Biosciences,School of Natural Sciences,Biosciences,2,0, -   TBA TBA,UNDERGRADUATE HONORS RESEARCH,,,,"Simoes Correa, Adrienne M.",No Final Exam
12441,202310,BIOS,415,001,Biosciences,School of Natural Sciences,Biosciences,12,14,09:00AM - 12:00PM MW ABL 123,EXPERIMENTAL PHYSIOLOGY,,,,"Lefeldt, Nele",No Final Exam
12442,202310,BIOS,420,001,Biosciences,School of Natural Sciences,Biosciences,27,35,09:00AM - 09:50AM MWF BRC 282,MOLECULAR BASIS OF DISEASES,34,35,5P,"Gao, Yang",Scheduled Final Exam-OTR Room
12444,202310,BIOS,423,001,Biosciences,School of Natural Sciences,Biosciences,10,40,01:00PM - 02:15PM TR KWG 100,CONSERVATION BIOLOGY,16,40,4Y,"Dunham, Amy E.",No Final Exam
12446,202310,BIOS,431,001,Biosciences,School of Natural Sciences,Biosciences,9,50,11:00AM - 11:50AM MWF ABL 130,BIOLOGY OF INFECTIOUS DISEASES,,,,"Rudolf, Volker",No Final Exam
