CRN,TERM_CODE,SUBJECT,COURSE_NUMBER,SECTION,SUBJECT_DESC,SCHOOL,DEPARTMENT,SECTION_ENROLLMENT,SECTION_MAX_ENROLLMENT,MEETINGS,COURSE_TITLE,CROSS_LIST_ENROLLMENT,CROSS_LIST_MAX_ENROLLMENT,CROSS_LIST_GROUP,INSTRUCTOR,EXAM_TYPE
11032,202410,MUSI,341,025,Music,School of Music,Music,1,0, -   TBA TBA,JUNIOR RECITAL,,,,"Strauss, Matthew B.",No Final Exam
11033,202410,MUSI,341,026,Music,School of Music,Music,0,0, -   TBA TBA,JUNIOR RECITAL,,,,"Pitts, Timothy N.",No Final Exam
11035,202410,MUSI,341,029,Music,School of Music,Music,0,0, -   TBA TBA,JUNIOR RECITAL,,,,"Smith, Brinton A.",No Final Exam
11036,202410,MUSI,341,030,Music,School of Music,Music,0,0, -   TBA TBA,JUNIOR RECITAL,,,,"van der Werff, Ivo-Jan",No Final Exam
11037,202410,MUSI,341,031,Music,School of Music,Music,1,0, -   TBA TBA,JUNIOR RECITAL,,,,"Ver Meulen, William",No Final Exam
11038,202410,MUSI,341,032,Music,School of Music,Music,0,0, -   TBA TBA,JUNIOR RECITAL,,,,"Weckstrom, Virginia",No Final Exam
11039,202410,MUSI,441,002,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Atherholt, Robert R.",No Final Exam
11040,202410,MUSI,441,003,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Barnhill, John A.",No Final Exam
11041,202410,MUSI,441,005,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Butler, Barbara L.",No Final Exam
11042,202410,MUSI,441,007,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Connelly, Brian",No Final Exam
11043,202410,MUSI,441,008,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Cowan, Kenneth A.",No Final Exam
11044,202410,MUSI,441,009,Music,School of Music,Music,1,0, -   TBA TBA,SENIOR RECITAL,,,,"Dunham, James F.",No Final Exam
11045,202410,MUSI,441,010,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Ellison, Paul V.",No Final Exam
11046,202410,MUSI,441,011,Music,School of Music,Music,1,0, -   TBA TBA,SENIOR RECITAL,,,,"Fischer, Jeanne K.",No Final Exam
11047,202410,MUSI,441,012,Music,School of Music,Music,1,0, -   TBA TBA,SENIOR RECITAL,,,,"Fischer, Norman",No Final Exam
11048,202410,MUSI,441,013,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Geyer, Charles E.",No Final Exam
11049,202410,MUSI,441,018,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Kamins, Benjamin C.",No Final Exam
11050,202410,MUSI,441,021,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Kirk, David E.",No Final Exam
11051,202410,MUSI,441,022,Music,School of Music,Music,1,0, -   TBA TBA,SENIOR RECITAL,,,,"Lin, Cho-Liang",No Final Exam
11052,202410,MUSI,441,023,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Page, Paula",No Final Exam
11053,202410,MUSI,441,025,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Strauss, Matthew B.",No Final Exam
11054,202410,MUSI,441,026,Music,School of Music,Music,1,0, -   TBA TBA,SENIOR RECITAL,,,,"Pitts, Timothy N.",No Final Exam
11055,202410,MUSI,441,027,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Roux, Robert J.",No Final Exam
11056,202410,MUSI,441,029,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Smith, Brinton A.",No Final Exam
11057,202410,MUSI,441,032,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Weckstrom, Virginia",No Final Exam
11058,202410,MUSI,441,034,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Al-Zand, Karim A.",No Final Exam
11059,202410,MUSI,441,036,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Chen, Shih-Hui",No Final Exam
11060,202410,MUSI,441,037,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Gottschalk, Arthur W.",No Final Exam
11061,202410,MUSI,441,038,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Jalbert, Pierre D.",No Final Exam
11062,202410,MUSI,441,039,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Lavenda, Richard A.",No Final Exam
11063,202410,MUSI,441,041,Music,School of Music,Music,0,0, -   TBA TBA,SENIOR RECITAL,,,,"Blattler, Damian J.",No Final Exam
11178,202410,MUSI,495,003,Music,School of Music,Music,1,1, -   TBA TBA,VIOLONCELLO FOR MAJORS,,,,"Smith, Brinton A.",No Final Exam
11212,202410,MUSI,253,001,Music,School of Music,Music,0,0, -   TBA TBA,SECONDARY OBOE,,,,,No Final Exam
11213,202410,MUSI,251,001,Music,School of Music,Music,0,0, -   TBA TBA,SECONDARY FLUTE,,,,,No Final Exam
11270,202410,MUSI,449,011,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Gottschalk, Arthur W.",No Final Exam
11271,202410,MUSI,449,017,Music,School of Music,Music,0,0, -   TBA TBA,UNDERGRAD INDEPENDENT STUDY,,,,"Al-Zand, Karim A.",No Final Exam
